id,name
1,acob
2,actionscript
3,acu-cobol
4,ada
5,adaplex
6,al
7,algol
8,angular typescript
9,ansi c
10,apex
11,apl
12,apple script
13,arm assembler
14,arm cortex v8/v9 assembler
15,arm neon vector processing assembler
16,asn.1
17,assembler 8051
18,assembler 8080
19,assembler 8085
20,assembler dsp563xx
21,assembler h
22,assembler mips r3000-r4000
23,assembler motorola 6800
24,assembler motorola 68000
25,assembler powerpc
26,assembler sun sparc
27,assembler x86
28,assembler z80
29,awk
30,baan c
31,bash
32,basic
33,bat
34,bos
35,bourne shell
36,business basic
37,c
38,c shell
39,c#
40,c/al
41,c++
42,cachéscript
43,cassandra query language
44,clarion abc
45,clarion legacy
46,clist
47,clojure
48,cobol
49,cobol ii
50,cobol/370
51,cocoa
52,coffeescript
53,comal
54,concorde xal
55,csp
56,css
57,css3
58,dart
59,data analysis expressions
60,data flex
61,data manipulation language
62,ddm
63,delphi
64,dl-i
65,dom
66,easytrieve +
67,ecmascript
68,ecmascript 5
69,egl
70,eiffel
71,elixir
72,embedded c
73,erlang
74,esql
75,f#
76,focus
77,formula
78,forth
79,fortran
80,g++
81,gherkin
82,go
83,gosu
84,graphql
85,groovy
86,haskell
87,haxe
88,high level shader language
89,hsql
90,html
91,html5
92,hypertalk
93,iar c compiler
94,ideal
95,informix
96,ingres
97,jass
98,java
99,javafx script
100,javascript
101,jcl
102,jpql
103,jscript
104,jython
105,kornshell
106,kotlin
107,lexx/yacc
108,lisp
109,logo
110,lotusscript
111,lua
112,majic/spel
113,managed c++
114,mapbasic
115,matlab
116,mdx
117,meta language
118,metaassembler
119,microchip assembler
120,microsoft visual basic
121,microsoft visual basic .net
122,modula 2
123,modula 3
124,mumps
125,mxml
126,natural
127,oberon
128,object pascal
129,objective-c
130,oml
131,oo javascript
132,openroad
133,owl
134,pascal
135,perl
136,perl script
137,personaljava
138,php
139,php4
140,php5
141,php7
142,pjl
143,pl/1
144,pl/m
145,pl/sql
146,plc7
147,plex
148,plm
149,pnuts
150,postscript
151,power++
152,powerhouse
153,powerhouse qtp
154,powerscript
155,powershell
156,powershell core
157,pro iv
158,progress
159,prolog
160,psf-afp
161,python
162,qbasic
163,qml
164,quicktime technologies
165,r
166,regex
167,rexx
168,rexx for os/2
169,rm-cobol
170,rpg
171,rpg ile
172,rpg-400
173,ruby
174,rust
175,s@t markup language
176,saml
177,sap abap
178,sas
179,sas base
180,sas batch
181,sas online
182,sas/sql
183,sass
184,scala
185,scobol
186,scss
187,sdl/gr
188,sdl/pr
189,shell script
190,simatic s5
191,simatic s7
192,simnet ii
193,smalltalk
194,sql
195,sqr
196,standard ml
197,swift
198,system51
199,systemverilog
200,tacl
201,tcl-tk
202,tex
203,tool command language
204,tpl
205,t-sql
206,ttcn
207,typed assembly language
208,typescript
209,ucob
210,uniface
211,unified modeling language
212,unix cobol
213,unix shell
214,u-sql
215,vag
216,vba
217,vbscript
218,verilog
219,vhsic hardware description language
220,vispro rexx
221,visual foxpro
222,visualforce
223,wig
224,wmlscript
225,wolfram mathematica
226,wonderware quickscript .net
227,wsdl
228,x++
229,xaml
230,xarc
231,xml user interface language
232,xpath
233,xquery
234,xsl
235,xslt
236,yaml
237,.net compact framework
238,3-tier
239,active accessibility
240,active directory
241,active directory certificate services
242,active directory federation services
243,active directory service interface
244,active server pages
245,activex
246,actor pattern
247,ado
248,ado.net
249,advanced function presentation
250,adverse media
251,aes
252,ajax
253,altera fpga
254,altera nios soft-core
255,amazon api gateway
256,amazon athena
257,amazon cloudfront
258,amazon cloudwatch
259,amazon cognito
260,amazon data pipeline
261,amazon dynamodb
262,amazon ec2
263,amazon ecs
264,amazon marketplace web service
265,amazon s3
266,amazon sagemaker
267,amazon sqs
268,amf
269,amfphp
270,andf
271,apache activemq
272,apache airflow
273,apache avro
274,apache axis2
275,apache camel
276,apache cxf
277,apache felix
278,apache hadoop
279,apache hadoop common
280,apache hadoop mapreduce
281,apache hadoop yarn
282,apache hdfs
283,apache karaf
284,apache knox gateway
285,apache lucene
286,apache mahout
287,apache myfaces
288,apache ranger
289,apache solr
290,apache spark
291,apache storm
292,apache streamsets
293,apache xmlbeans
294,apache zookeeper
295,api
296,aptix
297,arcfm enterprise
298,arcgis
299,arcims
300,arcmap
301,arcobjects
302,arcsde
303,arcsight
304,arcsight esm
305,arcsight siem
306,arcview
307,arcxml
308,asic
309,asp.net
310,asp.net 5/mvc 6
311,asp.net core mvc
312,asp.net mvc
313,asp.net mvc 4
314,asp.net mvc 5
315,asp.net web api
316,atl
317,atlassian confluence
318,attribute-based access control
319,augmented reality
320,aws cloudtrail
321,aws cloudwatch
322,aws codepipeline
323,aws glue
324,aws identity and access management
325,aws iot core
326,aws lake formation
327,awt
328,axis
329,azure resource manager
330,beats
331,biometrics
332,bitcoin
333,blowfish
334,bluetooth
335,boost c++
336,box2d
337,bsd socket
338,business intelligence markup language
339,canvas
340,cascading framework
341,celery
342,certification authority service
343,cgi
344,change control
345,chatbot
346,clariion
347,clarion
348,client-server architecture
349,client-side object model
350,cmd
351,code ignitor
352,codec
353,codeigniter
354,codepush
355,collaborative data objects
356,com
357,com/dcom
358,com+
359,compass
360,composer
361,composite cms
362,computer telephone integration
363,contexts & dependency injection
364,corba
365,core data
366,core image
367,crisc
368,dao
369,data retention policy
370,dbcc
371,dce
372,dcom
373,dde
374,delphi jedi
375,des
376,device drivers
377,dhtml
378,dibs
379,dirxml
380,django
381,docbook
382,docker
383,docker swarm
384,document type definition
385,dom - document object model
386,dotnetnuke
387,drm oma
388,dvb-c
389,dvb-h
390,dvb-s
391,dvb-t
392,dxf
393,ebxml
394,ejb 3.0
395,elasticsearch
396,ember.js
397,emc
398,encryption
399,endeavour
400,enterprise data lake
401,enterprise java beans
402,entity relationship diagram
403,episerver
404,esd
405,esri
406,eureka
407,experience api
408,facebook api
409,facelets
410,field-programmable gate array
411,fitnesse
412,flask
413,fop
414,fpml
415,fql
416,freemarker
417,functional safety
418,gef
419,geographic data files
420,geographical information system
421,git
422,gnome
423,google adwords
424,google analytics
425,google maps api
426,google play services
427,google protocol buffers
428,google tag manager
429,google web master tools
430,google web toolkit
431,grails
432,graylog
433,hacmp
434,haml
435,handlebars.js
436,hateoas
437,hibernate
438,hpe 3par
439,hpe storage
440,http live streaming
441,http smooth streaming
442,hystrix
443,ibatis dao
444,ibatis sql maps
445,ibis
446,ibm bluemix
447,ibm cognos
448,ibm opc
449,ibm spss
450,ibm watson
451,idea
452,identityserver
453,imagemagick
454,informatica powercenter
455,ip chains
456,irda
457,isapi
458,j2ee jaas
459,j2se 6.0 - mustang
460,java annotation
461,java applet
462,java beans
463,java card
464,java database connectivity
465,java management extensions
466,java message service
467,java native interface
468,java persistence api
469,java play framework
470,java portlets
471,java rmi
472,java server pages
473,java server pages standard tag library
474,java servlets
475,java stripes
476,java swing
477,java swing synth
478,java web start
479,javascriptmvc
480,javaserver faces
481,jaxb
482,jaxp
483,jax-rs
484,jcaptcha
485,jfc /java foundation classes
486,jini
487,jndi
488,jns
489,jprobe
490,jprofiler
491,jsom
492,json
493,json.net
494,jsr 268
495,jsr168
496,jts
497,jwt
498,jxta
499,kde
500,keycloak
501,kibana
502,kohana
503,lambda
504,laravel
505,liferay portal enterprise edition
506,liferay portal standard edition
507,linq
508,linq to sql
509,linq to xml
510,liv.net
511,livedata
512,logstash
513,lucene
514,managed extensibility framework
515,mapi
516,mapinfo
517,mapobjects
518,mbms
519,mcollective
520,message sequence chart
521,mfc
522,microsoft adcentre
523,microsoft azure active directory
524,microsoft azure api management
525,microsoft azure application insights
526,microsoft azure data factory
527,microsoft azure data lake
528,microsoft azure databricks
529,microsoft azure expressroute
530,microsoft azure functions
531,microsoft azure hdinsight
532,microsoft azure iaas
533,microsoft azure logic apps
534,microsoft azure mfa
535,microsoft azure paas
536,microsoft azure saas
537,microsoft azure security center
538,microsoft azure service bus
539,microsoft azure site recovery
540,microsoft azure sql data warehouse
541,microsoft azure storage
542,microsoft azure virtual network
543,microsoft azure web apps
544,microsoft compact framework
545,microsoft direct3d
546,microsoft directdraw
547,microsoft directinput
548,microsoft directmusic
549,microsoft directplay
550,microsoft directsetup
551,microsoft directshow
552,microsoft directsound
553,microsoft directx
554,microsoft message queues
555,microsoft solutions framework
556,microsoft xna
557,mitid
558,model view viewmodel
559,mqi
560,muffins
561,mva
562,mvc
563,mvc razor
564,mvvmcross
565,nemid
566,nhibernate
567,nightwatch.js
568,nordic market model
569,nsapi
570,n-tier
571,numerical control
572,oauth
573,oauth2
574,object modeling framework
575,objectarx
576,ocx
577,oid
578,oio xml
579,oioubl
580,okhttp
581,olap
582,ole
583,one-time password
584,opc
585,opc ua
586,opc/esa
587,open database connectivity
588,openam
589,opengl
590,openid connect
591,openjump
592,openssl
593,operational technology
594,oracle adf
595,oracle autonomous transaction processing
596,oracle responsys
597,osca
598,osf-motif
599,papyrus docexec
600,pdo
601,pgp - encryption
602,pki
603,portlets
604,postgis
605,powerha
606,powervm
607,ppfa
608,profisee mdm
609,progressive web apps
610,prototype
611,pull requests
612,qgis
613,quartz
614,quickturn
615,rbac
616,rdf
617,regedit
618,remobjects anydac
619,remobjects hydra
620,rendezvous
621,rest
622,rest api
623,rest assured
624,restful design
625,restful programming
626,rfi/emi
627,rhino.mocks
628,rmi/iiop
629,rss
630,rxjava
631,salesforce api
632,sap bapi
633,sap rfc
634,sax
635,scribe insight
636,scriptaculous
637,secure shell
638,security baseline
639,service fabric
640,set
641,sgml
642,sharepoint object model
643,siem
644,simatic controllers
645,single sign-on
646,single-page application
647,sitecore dms
648,sitecore ecm
649,sitecore foundry
650,skade.net
651,smartcard
652,smil
653,soap
654,soar
655,sphinx
656,spring
657,spring boot
658,spring cloud
659,spring cloud netflix
660,spring core
661,spring mvc
662,spring security
663,spring web services
664,springfox
665,sql server analysis services
666,sql server business intelligence
667,sql server data tools
668,sql server integration services
669,sql server management studio
670,sql server reporting services
671,sqlj
672,ssr
673,stax
674,sterling integrator
675,stl
676,stored procedures
677,struts
678,svg
679,swagger
680,swing
681,symfony
682,symfony 2
683,symfony 3
684,symfony 4
685,system management facilities
686,systemc
687,tag libraries
688,tandem
689,tapestry
690,tapi
691,telelogic rhapsody
692,tibco::rv
693,tiles plugin
694,tmap
695,tomahawk
696,topicmap
697,tp antenna
698,travis ci
699,triple des
700,tsapi
701,tso/racf
702,tso-ispf
703,twain
704,twitter api
705,typo3
706,uart
707,unity cloud build
708,unix
709,unreal engine
710,vbx
711,video encoding
712,voicexml
713,vrml
714,vxfs
715,waffle
716,wap
717,wcf
718,web
719,web crypto
720,web part
721,web scraping
722,webforms
723,webgis
724,webgl
725,webobjects
726,websockets
727,wicket
728,wiki
729,win16
730,win32
731,winapi
732,windows bitlocker
733,windows dna
734,windows hello
735,windows media
736,windows mobile
737,windows server appfabric
738,windows workflow foundation
739,winforms
740,wininet
741,winsocket
742,wml
743,wonderware application server
744,wonderware intouch
745,wpf
746,wpki
747,x windows
748,xacml
749,xalan
750,xbrl
751,xerces
752,xforms
753,xhtml
754,xilinx embedded powerpc
755,xilinx fpga
756,xilinx microblaze soft-core
757,xml
758,xml parser
759,xml schema
760,xmpp
761,xsd
762,xvt
763,yahoo search marketing
764,youtube api
765,zapp
766,zend framework
767,.net
768,.net 3.0
769,.net 3.5
770,.net 4.0
771,.net 4.5
772,.net core
773,386bsd
774,a/ux
775,abc80
776,adobe marketing cloud
777,advent portfolio exchange platform
778,aia interactive digital platform
779,aix
780,akamai intelligent platform
781,algorithmics
782,alibaba cloud
